vehicle_id, vehicle_bbox, plate_bbox, plate_bbox_score, license_number, license_number_score_1, license_number_score_2
9.0, [511.1188659667969 17.39385986328125 1228.20263671875 691.8959350585938], [869.75 550.083740234375 997.8870849609375 673.3720703125], 0.7916519045829773, 29-T1 1020, 0.19578489208817146, 0.9989377447984358
21.0, [477.55424824258387 13.823184359075015 922.6234740274098 686.5639755962839], [508.7464294433594 524.9673461914062 625.9952392578125 642.4354858398438], 0.7543368339538574, 29-T1 01102, 0.47457159481673356, 0.9780330947068169
46.0, [31.081079229715897 -11.084022610727402 1041.629152981462 691.4091736019482], [791.9613037109375 438.40478515625 918.928466796875 571.7044677734375], 0.7533999085426331, 90-H8 3509, 0.9848745071950966, 0.9427986205245574
59.0, [24.624007096118817 -40.12047004648457 684.2178865732047 738.6111755040183], [502.3504638671875 447.51593017578125 626.8741455078125 578.1693725585938], 0.7533273100852966, 90-H9 3509, 0.3351712479835554, 0.9995980858802795
64.0, [0.09487305360045184 17.6683739529189 623.1458862988 702.2334185556856], [27.646820068359375 448.39306640625 187.5109100341797 595.4102783203125], 0.7389002442359924, 90-H8 0935, 0.9857176168262121, 0.9999585277529502
105.0, [300.1060112618619 0.8331694133795509 1265.1267096142024 595.1407764343077], [1027.22119140625 300.0101318359375 1156.44970703125 440.134765625], 0.5527677536010742, 19-G7 9762, 0.886202296134922, 0.7749625549600487
114.0, [262.23376296715134 -0.7671904990485814 1213.715111874211 641.0816498588681], [699.5557861328125 333.0208740234375 826.9906005859375 482.2261962890625], 0.7221130132675171, 29-E1 25954, 0.8739848732948303, 0.9981665612477856
140.0, [127.0565070221927 1.1835886086098526 1222.5145324004038 666.5264627113338], [297.6611328125 372.8974609375 460.734619140625 544.5448608398438], 0.5092065334320068, 72-E1 16876, 0.8478350456965842, 0.6075288582463836
148.0, [112.06928441415954 -7.58323454179839 888.1685172166547 586.4789468208385], [241.6219482421875 365.364501953125 405.91461181640625 543.0479736328125], 0.4148465096950531, 13-S5 7768, 0.40410418449345165, 0.5379039432846532
152.0, [-11.629794828022966 18.88962263566532 955.9347221525509 694.8901698927102], [709.9996948242188 289.77862548828125 817.8921508789062 425.80780029296875], 0.5480812788009644, 11-A8 39336, 0.733094967676069, 0.47812737814578665
156.0, [67.3246908100258 13.55428243210281 750.1175921548469 645.0443111660338], [576.7137451171875 394.83709716796875 695.487548828125 528.733154296875], 0.6239473223686218, 88-I1 63330, 0.4253993855880759, 0.657875941631042
171.0, [324.6740543673458 124.80210441452982 748.7315799025811 614.8517934220857], [566.6832275390625 355.5888671875 687.0897216796875 503.38623046875], 0.613906979560852, 11-H9 9633, 0.7803464933170406, 0.7353201319350094
